"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified","NA."
"26",127143,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127143","Pleuronectes platessa","Linnaeus, 1758","accepted",NA,220,"Species",127143,"Pleuronectes platessa","Linnaeus, 1758",126120,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectes","Froese, R. and D. Pauly. Editors. (2022). FishBase. Pleuronectes platessa Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127143 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127143",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"27",127137,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127137","Hippoglossoides platessoides","(Fabricius, 1780)","accepted",NA,220,"Species",127137,"Hippoglossoides platessoides","(Fabricius, 1780)",126115,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Froese, R. and D. Pauly. Editors. (2022). FishBase. Hippoglossoides platessoides (Fabricius, 1780). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127137 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127137",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"28",127139,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127139","Limanda limanda","(Linnaeus, 1758)","accepted",NA,220,"Species",127139,"Limanda limanda","(Linnaeus, 1758)",126117,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Limanda","Froese, R. and D. Pauly. Editors. (2022). FishBase. Limanda limanda (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127139 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127139",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"29",127023,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127023","Scomber scombrus","Linnaeus, 1758","accepted",NA,220,"Species",127023,"Scomber scombrus","Linnaeus, 1758",126063,"Animalia","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Froese, R. and D. Pauly. Editors. (2022). FishBase. Scomber scombrus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127023 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127023",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"30",127312,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127312","Maurolicus muelleri","(Gmelin, 1789)","accepted",NA,220,"Species",127312,"Maurolicus muelleri","(Gmelin, 1789)",126197,"Animalia","Chordata","Actinopteri","Stomiiformes","Sternoptychidae","Maurolicus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Maurolicus muelleri (Gmelin, 1789). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127312 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127312",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"31",125508,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=125508","Argentinidae","Bonaparte, 1846","accepted",NA,140,"Family",125508,"Argentinidae","Bonaparte, 1846",1321884,"Animalia","Chordata","Actinopteri","Argentiniformes","Argentinidae",NA,"Froese, R. and D. Pauly. Editors. (2022). FishBase. Argentinidae Bonaparte, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125508 on 2022-05-13","urn:lsid:marinespecies.org:taxname:125508",1,1,NA,NA,NA,"exact","2019-01-18T20:21:59.233Z",NA
"32",127190,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127190","Agonus cataphractus","(Linnaeus, 1758)","accepted",NA,220,"Species",127190,"Agonus cataphractus","(Linnaeus, 1758)",126144,"Animalia","Chordata","Actinopteri","Perciformes","Agonidae","Agonus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Agonus cataphractus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127190 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127190",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"33",127141,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127141","Platichthys flesus","(Linnaeus, 1758)","accepted",NA,220,"Species",127141,"Platichthys flesus","(Linnaeus, 1758)",126119,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Platichthys","Froese, R. and D. Pauly. Editors. (2022). FishBase. Platichthys flesus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127141 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127141",1,1,1,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"34",127160,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=127160","Solea solea","(Linnaeus, 1758)","accepted",NA,220,"Species",127160,"Solea solea","(Linnaeus, 1758)",126132,"Animalia","Chordata","Actinopteri","Pleuronectiformes","Soleidae","Solea","Froese, R. and D. Pauly. Editors. (2022). FishBase. Solea solea (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127160 on 2022-05-13","urn:lsid:marinespecies.org:taxname:127160",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
"35",126426,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126426","Engraulis encrasicolus","(Linnaeus, 1758)","accepted",NA,220,"Species",126426,"Engraulis encrasicolus","(Linnaeus, 1758)",125724,"Animalia","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Froese, R. and D. Pauly. Editors. (2022). FishBase. Engraulis encrasicolus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126426 on 2022-05-13","urn:lsid:marinespecies.org:taxname:126426",1,1,0,0,NA,"exact","2008-01-15T17:27:08.177Z",NA
